V1,V2,V4,filter_$,VAR00002,hour
B51513,1000019,10/17/2014,1,0,11
A74586,1000019,10/17/2014,1,0,11
B18180,1000019,10/17/2014,1,0,11
E65774,1000019,10/17/2014,1,0,11
C78473,1000019,10/17/2014,1,0,11
A66180,1000019,10/17/2014,1,0,11
A74586,1000019,10/17/2014,1,0,11
B18180,1000019,10/17/2014,1,0,11
B41591,1000019,10/17/2014,1,0,11
C49869,1000019,10/17/2014,1,0,11
C78473,1000019,10/17/2014,1,0,11
A23785,1000019,10/17/2014,1,0,11
C78925,1000019,10/17/2014,1,0,11
D79611,1000019,10/17/2014,1,0,11
C53571,1000019,10/17/2014,1,0,11
D69280,1000019,10/17/2014,1,0,11
A43089,1000019,10/17/2014,1,0,11
B65956,1000019,10/17/2014,1,0,11
D47249,1000019,10/17/2014,1,0,11
E65016,1000019,10/17/2014,1,0,11
A64363,1000019,10/17/2014,1,0,11
B78286,1000019,10/17/2014,1,0,11
B47675,1000019,10/17/2014,1,0,11
C66927,1000019,10/17/2014,1,0,11
C75339,1000019,10/17/2014,1,0,11
B28592,1000019,10/17/2014,1,0,11
E30061,1000019,10/17/2014,1,0,11
A72759,1000019,10/17/2014,1,0,11
D65220,1000019,10/17/2014,1,0,11
A63711,1000019,10/17/2014,1,0,11
A79415,1000019,10/17/2014,1,0,11
E16434,1000019,10/17/2014,1,0,11
E75909,1000019,10/17/2014,1,0,11
B73695,1000019,10/17/2014,1,0,11
A75003,1000019,10/17/2014,1,0,11
C42987,1000019,10/17/2014,1,0,11
C38904,1000019,10/17/2014,1,0,11
C69588,1000019,10/17/2014,1,0,11
D56307,1000019,10/17/2014,1,0,11
B36694,1000019,10/17/2014,1,0,11
B63280,1000019,10/17/2014,1,0,11
B73695,1000019,10/17/2014,1,0,11
E77687,1000019,10/17/2014,1,0,11
B76944,1000019,10/17/2014,1,0,11
E78391,1000019,10/17/2014,1,0,11
C46930,1000019,10/17/2014,1,0,11
A50298,1000019,10/17/2014,1,0,11
E32150,1000019,10/17/2014,1,0,11
A43847,1000019,10/17/2014,1,0,11
B36694,1000019,10/17/2014,1,0,11
D78937,1000019,10/17/2014,1,0,11
C70594,1000019,10/17/2014,1,0,11
C74778,1000019,10/17/2014,1,0,11
E69268,1000019,10/17/2014,1,0,11
C53530,1000019,10/17/2014,1,0,11
C53530,1000019,10/17/2014,1,0,11
B70621,1000019,10/17/2014,1,0,11
C61112,1000019,10/17/2014,1,0,11
E75900,1000019,10/17/2014,1,0,11
C72110,1000019,10/17/2014,1,0,11
E35796,1000019,10/17/2014,1,0,11
E75399,1000019,10/17/2014,1,0,11
C66265,1000019,10/17/2014,1,0,11
A54518,1000019,10/17/2014,1,0,11
D75793,1000019,10/17/2014,1,0,11
B28015,1000019,10/17/2014,1,0,11
D72944,1000019,10/17/2014,1,0,11
A76975,1000019,10/17/2014,1,0,11
A79417,1000019,10/17/2014,1,0,11
D72944,1000019,10/17/2014,1,0,11
C51807,1000019,10/17/2014,1,0,11
A71105,1000019,10/17/2014,1,0,11
B76463,1000019,10/17/2014,1,0,11
D76992,1000019,10/17/2014,1,0,11
A62550,1000019,10/17/2014,1,0,11
D74237,1000019,10/17/2014,1,0,11
E55533,1000019,10/17/2014,1,0,11
B76463,1000019,10/17/2014,1,0,11
B28479,1000019,10/17/2014,1,0,11
D79574,1000019,10/17/2014,1,0,11
E54922,1000019,10/17/2014,1,0,11
B56699,1000019,10/17/2014,1,0,11
E79496,1000019,10/17/2014,1,0,11
B75357,1000019,10/17/2014,1,0,11
C51562,1000019,10/17/2014,1,0,11
E60155,1000019,10/17/2014,1,0,11
E50796,1000019,10/17/2014,1,0,11
D49453,1000019,10/17/2014,1,0,11
E50796,1000019,10/17/2014,1,0,11
C53723,1000019,10/17/2014,1,0,11
D79574,1000019,10/17/2014,1,0,11
E55533,1000019,10/17/2014,1,0,11
A70439,1000019,10/17/2014,1,0,11
B28479,1000019,10/17/2014,1,0,11
A68453,1000019,10/17/2014,1,0,11
E68830,1000019,10/17/2014,1,0,11
E68830,1000019,10/17/2014,1,0,11
E66228,1000019,10/17/2014,1,0,11
A68453,1000019,10/17/2014,1,0,11
A66084,1000019,10/17/2014,1,0,11
D49784,1000019,10/17/2014,1,0,11
D73848,1000019,10/17/2014,1,0,11
B75482,1000019,10/17/2014,1,0,11
A41544,1000019,10/17/2014,1,0,11
E73566,1000019,10/17/2014,1,0,11
B67210,1000019,10/17/2014,1,0,11
D72968,1000019,10/17/2014,1,0,11
E58798,1000019,10/17/2014,1,0,11
C51562,1000019,10/17/2014,1,0,11
B76348,1000019,10/17/2014,1,0,11
C64776,1000019,10/17/2014,1,0,11
D78224,1000019,10/17/2014,1,0,11
D78224,1000019,10/17/2014,1,0,11
A19971,1000019,10/17/2014,1,0,11
E78560,1000019,10/17/2014,1,0,11
E56926,1000019,10/17/2014,1,0,11
E78560,1000019,10/17/2014,1,0,11
C51423,1000019,10/17/2014,1,0,11
D37574,1000019,10/17/2014,1,0,11
D48777,1000019,10/17/2014,1,0,11
B43774,1000019,10/17/2014,1,0,11
D48777,1000019,10/17/2014,1,0,11
A75792,1000019,10/17/2014,1,0,11
B79096,1000019,10/17/2014,1,0,11
E65439,1000019,10/17/2014,1,0,11
A64987,1000019,10/17/2014,1,0,11
D71827,1000019,10/17/2014,1,0,11
B61554,1000019,10/17/2014,1,0,11
B24651,1000019,10/17/2014,1,0,11
