V1,V2,V4,filter_$,VAR00002,hour
E76647,1000233,10/17/2014,1,3,7
C76544,1000233,10/17/2014,1,3,7
A73411,1000233,10/17/2014,1,3,7
D62138,1000233,10/17/2014,1,3,7
D67426,1000233,10/17/2014,1,3,7
D44493,1000233,10/17/2014,1,3,7
A50538,1000233,10/17/2014,1,3,7
A77258,1000233,10/17/2014,1,3,7
E74358,1000233,10/17/2014,1,3,7
A45934,1000233,10/17/2014,1,3,7
B33779,1000233,10/17/2014,1,3,7
E60122,1000233,10/17/2014,1,3,7
B67008,1000233,10/17/2014,1,3,7
C42054,1000233,10/17/2014,1,3,7
C57040,1000233,10/17/2014,1,3,7
C33435,1000233,10/17/2014,1,3,7
E63347,1000232,10/17/2014,1,3,7
B70746,1000233,10/17/2014,1,3,7
B77119,1000233,10/17/2014,1,3,7
B77119,1000233,10/17/2014,1,3,7
B78121,1000233,10/17/2014,1,3,7
C57040,1000233,10/17/2014,1,3,7
B79357,1000233,10/17/2014,1,3,7
B69505,1000233,10/17/2014,1,3,7
B78121,1000233,10/17/2014,1,3,7
C33435,1000233,10/17/2014,1,3,7
C65008,1000233,10/17/2014,1,3,7
C40812,1000233,10/17/2014,1,3,7
A41544,1000233,10/17/2014,1,3,7
A44759,1000233,10/17/2014,1,3,7
D62138,1000233,10/17/2014,1,3,7
A77708,1000233,10/17/2014,1,3,7
C75427,1000233,10/17/2014,1,3,7
B70746,1000233,10/17/2014,1,3,7
E60122,1000233,10/17/2014,1,3,7
E56808,1000233,10/17/2014,1,3,7
B51439,1000233,10/17/2014,1,3,7
C75875,1000233,10/17/2014,1,3,7
E73784,1000233,10/17/2014,1,3,7
A48722,1000233,10/17/2014,1,3,7
C60916,1000233,10/17/2014,1,3,7
C68213,1000232,10/17/2014,1,3,7
C76386,1000233,10/17/2014,1,3,7
B78206,1000233,10/17/2014,1,3,7
C50002,1000233,10/17/2014,1,3,7
B77098,1000233,10/17/2014,1,3,7
C65854,1000233,10/17/2014,1,3,7
D42356,1000233,10/17/2014,1,3,7
E75390,1000233,10/17/2014,1,3,7
A67666,1000233,10/17/2014,1,3,7
C76386,1000233,10/17/2014,1,3,7
D70679,1000233,10/17/2014,1,3,7
A40298,1000233,10/17/2014,1,3,7
B75104,1000233,10/17/2014,1,3,7
B51439,1000233,10/17/2014,1,3,7
E78249,1000233,10/17/2014,1,3,7
C59341,1000233,10/17/2014,1,3,7
A68818,1000233,10/17/2014,1,3,7
C78742,1000233,10/17/2014,1,3,7
A62646,1000233,10/17/2014,1,3,7
A79566,1000233,10/17/2014,1,3,7
D48672,1000233,10/17/2014,1,3,7
E68686,1000233,10/17/2014,1,3,7
E77850,1000233,10/17/2014,1,3,7
A62673,1000233,10/17/2014,1,3,7
C75395,1000233,10/17/2014,1,3,7
A34424,1000233,10/17/2014,1,3,7
A68274,1000233,10/17/2014,1,3,7
D70683,1000233,10/17/2014,1,3,7
E68522,1000232,10/17/2014,1,3,7
E74398,1000233,10/17/2014,1,3,7
C36486,1000233,10/17/2014,1,3,7
B62946,1000233,10/17/2014,1,3,7
E71925,1000233,10/17/2014,1,3,7
A40298,1000233,10/17/2014,1,3,7
C75395,1000233,10/17/2014,1,3,7
D74081,1000233,10/17/2014,1,3,7
A50783,1000233,10/17/2014,1,3,7
A51654,1000233,10/17/2014,1,3,7
A67047,1000233,10/17/2014,1,3,7
E76179,1000233,10/17/2014,1,3,7
D78071,1000233,10/17/2014,1,3,7
D59625,1000233,10/17/2014,1,3,7
C74184,1000233,10/17/2014,1,3,7
D71177,1000233,10/17/2014,1,3,7
E71575,1000233,10/17/2014,1,3,7
A54941,1000233,10/17/2014,1,3,7
A26205,1000233,10/17/2014,1,3,7
C78769,1000233,10/17/2014,1,3,7
E71575,1000233,10/17/2014,1,3,7
D14717,1000233,10/17/2014,1,3,7
D59625,1000233,10/17/2014,1,3,7
B41963,1000233,10/17/2014,1,3,7
B41963,1000233,10/17/2014,1,3,7
A71825,1000233,10/17/2014,1,3,7
D27833,1000232,10/17/2014,1,3,7
D70679,1000233,10/17/2014,1,3,7
A50783,1000233,10/17/2014,1,3,7
B66223,1000233,10/17/2014,1,3,7
E70980,1000233,10/17/2014,1,3,7
A41637,1000233,10/17/2014,1,3,7
A78340,1000233,10/17/2014,1,3,7
E53612,1000233,10/17/2014,1,3,7
C79679,1000233,10/17/2014,1,3,7
D14717,1000233,10/17/2014,1,3,7
E74398,1000233,10/17/2014,1,3,7
E37028,1000232,10/17/2014,1,3,7
E60117,1000233,10/17/2014,1,3,7
B79647,1000233,10/17/2014,1,3,7
C54117,1000233,10/17/2014,1,3,7
E65585,1000233,10/17/2014,1,3,7
E59797,1000233,10/17/2014,1,3,7
B79407,1000233,10/17/2014,1,3,7
B62946,1000233,10/17/2014,1,3,7
C71797,1000233,10/17/2014,1,3,7
E60117,1000233,10/17/2014,1,3,7
C79679,1000233,10/17/2014,1,3,7
B69951,1000233,10/17/2014,1,3,7
C60256,1000232,10/17/2014,1,3,7
B65101,1000233,10/17/2014,1,3,7
A78340,1000233,10/17/2014,1,3,7
C54117,1000233,10/17/2014,1,3,7
B76632,1000233,10/17/2014,1,3,7
B71739,1000233,10/17/2014,1,3,7
B78824,1000233,10/17/2014,1,3,7
C41940,1000232,10/17/2014,1,3,7
B38618,1000233,10/17/2014,1,3,7
C73316,1000233,10/17/2014,1,3,7
A64621,1000233,10/17/2014,1,3,7
D61220,1000233,10/17/2014,1,3,7
C71866,1000233,10/17/2014,1,3,7
B65017,1000233,10/17/2014,1,3,7
E76560,1000233,10/17/2014,1,3,7
E77239,1000233,10/17/2014,1,3,7
B31757,1000233,10/17/2014,1,3,7
B73154,1000233,10/17/2014,1,3,7
D61220,1000233,10/17/2014,1,3,7
C49753,1000233,10/17/2014,1,3,7
D60579,1000233,10/17/2014,1,3,7
D60579,1000233,10/17/2014,1,3,7
E61167,1000233,10/17/2014,1,3,7
B65017,1000233,10/17/2014,1,3,7
A69241,1000233,10/17/2014,1,3,7
C71866,1000233,10/17/2014,1,3,7
C19176,1000232,10/17/2014,1,3,7
C71094,1000233,10/17/2014,1,3,7
A78340,1000233,10/17/2014,1,3,7
B79695,1000233,10/17/2014,1,3,7
A27834,1000233,10/17/2014,1,3,7
D67632,1000233,10/17/2014,1,3,7
A48778,1000233,10/17/2014,1,3,7
C79262,1000233,10/17/2014,1,3,7
D77895,1000233,10/17/2014,1,3,7
C67172,1000233,10/17/2014,1,3,7
D73912,1000233,10/17/2014,1,3,7
A41273,1000233,10/17/2014,1,3,7
B75973,1000233,10/17/2014,1,3,7
A66971,1000233,10/17/2014,1,3,7
E46504,1000233,10/17/2014,1,3,7
C72760,1000233,10/17/2014,1,3,7
A64621,1000233,10/17/2014,1,3,7
B74735,1000233,10/17/2014,1,3,7
D77895,1000233,10/17/2014,1,3,7
E79483,1000233,10/17/2014,1,3,7
A66971,1000233,10/17/2014,1,3,7
E33700,1000233,10/17/2014,1,3,7
E76560,1000233,10/17/2014,1,3,7
A79563,1000233,10/17/2014,1,3,7
A78842,1000233,10/17/2014,1,3,7
E68123,1000233,10/17/2014,1,3,7
D67632,1000233,10/17/2014,1,3,7
B74735,1000233,10/17/2014,1,3,7
D73912,1000233,10/17/2014,1,3,7
D26674,1000233,10/17/2014,1,3,7
B32727,1000233,10/17/2014,1,3,7
A24825,1000233,10/17/2014,1,3,7
A29484,1000233,10/17/2014,1,3,7
C79262,1000233,10/17/2014,1,3,7
A78532,1000233,10/17/2014,1,3,7
B76155,1000233,10/17/2014,1,3,7
C76029,1000233,10/17/2014,1,3,7
A71228,1000233,10/17/2014,1,3,7
D79204,1000233,10/17/2014,1,3,7
A64790,1000233,10/17/2014,1,3,7
A79563,1000233,10/17/2014,1,3,7
B79695,1000233,10/17/2014,1,3,7
C46797,1000233,10/17/2014,1,3,7
B73229,1000233,10/17/2014,1,3,7
D27833,1000232,10/17/2014,1,3,7
A64632,1000233,10/17/2014,1,3,7
B25090,1000233,10/17/2014,1,3,7
D71888,1000233,10/17/2014,1,3,7
C77268,1000233,10/17/2014,1,3,7
A65708,1000233,10/17/2014,1,3,7
A75411,1000233,10/17/2014,1,3,7
C61112,1000233,10/17/2014,1,3,7
C79743,1000233,10/17/2014,1,3,7
E75380,1000233,10/17/2014,1,3,7
A42511,1000233,10/17/2014,1,3,7
B77125,1000233,10/17/2014,1,3,7
E35796,1000233,10/17/2014,1,3,7
C45899,1000233,10/17/2014,1,3,7
D78689,1000233,10/17/2014,1,3,7
E46600,1000233,10/17/2014,1,3,7
E63918,1000233,10/17/2014,1,3,7
A49775,1000233,10/17/2014,1,3,7
B43472,1000233,10/17/2014,1,3,7
C65008,1000233,10/17/2014,1,3,7
D73263,1000233,10/17/2014,1,3,7
E46600,1000233,10/17/2014,1,3,7
E72083,1000233,10/17/2014,1,3,7
A67225,1000233,10/17/2014,1,3,7
B60500,1000233,10/17/2014,1,3,7
B61036,1000233,10/17/2014,1,3,7
C45899,1000233,10/17/2014,1,3,7
E68914,1000233,10/17/2014,1,3,7
A42511,1000233,10/17/2014,1,3,7
E46600,1000233,10/17/2014,1,3,7
E55493,1000233,10/17/2014,1,3,7
E67890,1000233,10/17/2014,1,3,7
B49587,1000233,10/17/2014,1,3,7
A70087,1000233,10/17/2014,1,3,7
A57269,1000233,10/17/2014,1,3,7
D78689,1000233,10/17/2014,1,3,7
C64247,1000233,10/17/2014,1,3,7
E54578,1000233,10/17/2014,1,3,7
A23076,1000233,10/17/2014,1,3,7
A72118,1000233,10/17/2014,1,3,7
A23076,1000233,10/17/2014,1,3,7
E78736,1000233,10/17/2014,1,3,7
A77504,1000233,10/17/2014,1,3,7
B75065,1000233,10/17/2014,1,3,7
D61086,1000233,10/17/2014,1,3,7
D75947,1000233,10/17/2014,1,3,7
A64295,1000233,10/17/2014,1,3,7
B56420,1000233,10/17/2014,1,3,7
B77417,1000233,10/17/2014,1,3,7
C58646,1000233,10/17/2014,1,3,7
C75540,1000233,10/17/2014,1,3,7
A70411,1000233,10/17/2014,1,3,7
C76196,1000233,10/17/2014,1,3,7
C58646,1000233,10/17/2014,1,3,7
E50504,1000233,10/17/2014,1,3,7
A77504,1000233,10/17/2014,1,3,7
E61667,1000233,10/17/2014,1,3,7
B75065,1000233,10/17/2014,1,3,7
D71217,1000233,10/17/2014,1,3,7
D72425,1000233,10/17/2014,1,3,7
D74453,1000233,10/17/2014,1,3,7
C64776,1000233,10/17/2014,1,3,7
D75947,1000233,10/17/2014,1,3,7
B72902,1000233,10/17/2014,1,3,7
E46600,1000233,10/17/2014,1,3,7
B65188,1000233,10/17/2014,1,3,7
B77537,1000233,10/17/2014,1,3,7
B67483,1000233,10/17/2014,1,3,7
B56420,1000233,10/17/2014,1,3,7
B75357,1000233,10/17/2014,1,3,7
E44646,1000233,10/17/2014,1,3,7
B66447,1000233,10/17/2014,1,3,7
D29774,1000233,10/17/2014,1,3,7
A77353,1000233,10/17/2014,1,3,7
C40409,1000233,10/17/2014,1,3,7
D36669,1000233,10/17/2014,1,3,7
D69877,1000233,10/17/2014,1,3,7
C67813,1000233,10/17/2014,1,3,7
B67483,1000233,10/17/2014,1,3,7
B50873,1000233,10/17/2014,1,3,7
C74373,1000233,10/17/2014,1,3,7
C57040,1000233,10/17/2014,1,3,7
E42990,1000233,10/17/2014,1,3,7
C75375,1000233,10/17/2014,1,3,7
D27750,1000232,10/17/2014,1,3,7
E74784,1000233,10/17/2014,1,3,7
A43886,1000233,10/17/2014,1,3,7
C75861,1000233,10/17/2014,1,3,7
C76736,1000233,10/17/2014,1,3,7
A65995,1000233,10/17/2014,1,3,7
B63897,1000233,10/17/2014,1,3,7
A33780,1000233,10/17/2014,1,3,7
E42807,1000233,10/17/2014,1,3,7
B63436,1000233,10/17/2014,1,3,7
E74784,1000233,10/17/2014,1,3,7
